"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201",4.16193921274623,24.759753609029,1,0,0,0,412,0,0,1431
"202",5.25854173996514,32.8579037734533,1,0,0,0,535,0,0,1538
"203",4.58917477989339,29.9256797946638,1,0,0,0,565,0,0,1503
"204",5.48700290654839,26.5116915363179,1,0,0,0,1545,0,0,1015
"205",5.03400305523118,30.2256878749298,1,0,0,0,206,0,0,1329
"206",4.95912085821038,24.2044831849321,1,0,0,0,1047,0,0,1072
"207",5.37474794854628,37.9723357953367,1,0,0,0,816,0,0,1635
"208",5.91231359140895,39.0559204651932,1,0,0,0,684,0,0,1578
"209",5.06375263530615,27.1917401852913,1,0,0,0,144,0,0,1391
"210",5.33558283882661,29.7102521138864,1,0,0,0,369,0,0,1257
"211",3.70397583048752,24.3300815017049,1,0,0,0,899,0,0,1652
"212",4.73980253885494,22.8240148249257,1,0,0,0,1217,0,0,1051
"213",4.64498573201324,31.1671124832734,1,0,0,0,763,0,0,1629
"214",4.35492755268038,30.3966940180435,1,0,0,0,1187,0,0,1746
"215",5.84242463390219,34.5621007796009,1,0,0,0,321,0,0,1309
"216",3.7620598057506,23.0372703368161,1,0,0,0,368,0,0,1414
"217",3.78563141170591,24.564494942367,1,0,0,0,672,0,0,1516
"218",6.96005713289816,47.0621386108076,1,0,0,0,752,0,0,1652
"219",5.50149633070437,39.0823905756354,1,0,0,0,1157,0,0,1753
"220",6.59224768036436,44.2099673554941,1,0,0,0,843,0,0,1633
"221",5.87292109026164,33.0913815273963,1,0,0,0,528,0,0,1278
"222",5.18840860401167,35.0866033234645,1,0,0,0,1080,0,0,1738
"223",3.19744506195403,15.6059596551932,1,0,0,0,539,0,0,1085
"224",5.94049352387126,40.0701134118285,1,0,0,0,746,0,0,1637
"225",4.23325454713593,30.9811445114969,1,0,0,0,1314,0,0,1795
"226",5.39189114969838,30.648643891151,1,0,0,0,55,0,0,1285
"227",5.78282465888678,34.9865896991698,1,0,0,0,4,0,0,1333
"228",4.11796542088559,26.2558337617885,1,0,0,0,881,0,0,1626
"229",5.8822531151547,43.0986363501632,1,0,0,0,1179,0,0,1821
"230",5.22620441525412,25.9263931026411,1,0,0,0,1198,0,0,1040
"231",3.51815820621654,14.0140582525633,1,0,0,0,2070,0,0,872
"232",4.36344755769902,24.483535799138,1,0,0,0,120,0,0,1382
"233",4.76171036671131,33.4395607664428,1,0,0,0,1148,0,0,1798
"234",4.48534787169302,29.6103946316496,1,0,0,0,581,0,0,1532
"235",4.32311369631582,22.3858103972193,1,0,0,0,313,0,0,1185
"236",6.16554605483654,42.3219426169657,1,0,0,0,684,0,0,1608
"237",4.93570959988842,31.1244890701351,1,0,0,0,641,0,0,1495
